テストケースID,テスト対象（画面）,テスト対象 (機能),テスト観点 ,確認内容 ,テスト前提,テスト手順,期待値,優先順位,関連TCND,関連RQ,備考
TC-001,チケット詳細画面,チケット参照権限,認可：データ所有権,依頼者が自分のチケット詳細を参照できる,依頼者でログイン済み; 自分のチケットが存在する / 依頼者:requester1; チケット:Ticket #1(所有者=requester1),一覧から自分のチケットを開く,詳細画面が表示され内容が参照できる,P1,TCND-001,RQ-015,
TC-002,チケット詳細画面,チケット参照権限,認可：アクセス制御 (ACL),依頼者が他人のチケット詳細に直接アクセスできない,依頼者でログイン済み; 他人のチケットが存在する / 依頼者:requester1; 他人のチケット:Ticket #2(所有者=requester2),他人のチケット詳細URLを直接開く,アクセス拒否または権限エラーが表示され詳細は閲覧できない,P1,TCND-002,RQ-015,
TC-003,チケット詳細画面,チケット参照権限,認可：推測攻撃耐性 (IDOR),依頼者が他人のチケットIDを推測しても閲覧できない,依頼者でログイン済み; 他人のチケットが存在する / 依頼者:requester1; 他人のチケット:Ticket #2(所有者=requester2),URL内のチケットIDを別IDに変えてアクセスする,アクセス拒否または権限エラーが表示される,P1,TCND-002,RQ-015,
TC-004,チケット詳細画面,ステータス管理,UI制御：権限による非表示,依頼者にステータス変更UIが表示されない,依頼者でログイン済み; 自分のチケット詳細を表示中 / 依頼者:requester1; チケット:Ticket #1,チケット詳細を表示してステータス変更操作を探す,ステータス変更の操作が表示されない または無効化されている,P1,TCND-003,RQ-026,
TC-005,チケット詳細画面,ステータス管理,ビジネスルール：API直接操作制限,依頼者が直接操作でステータス変更できない,依頼者でログイン済み; 直接操作の手段がある/ 依頼者:requester1; チケット:Ticket #1,開発者ツール等でステータス更新リクエストを試行する,権限エラーとなり更新されない,P1,TCND-003,RQ-026,
TC-006,チケット詳細画面,チケット詳細表示,表示整合性：基本項目,詳細画面の主要項目が表示される,担当者または管理者でログイン済み; 対象チケットが存在する,詳細画面を開き、title/body/status/due_date/assignee/attachment の表示を確認,主要項目が表示される（未設定項目は空/未設定表示でもよい）,P2,TCND-036,RQ-020,
TC-007,チケット詳細画面,ステータス管理,認可：担当者権限 (整合性),担当者は非担当チケットのステータス変更ができない,担当者でログイン済み; 非担当チケットが存在する / 担当者:agent2; チケット:Ticket #2(割当者=agent1),開発者ツール等で非担当チケットでステータス変更を試行,403等で拒否され、状態は変わらず履歴も追加されない,P1,TCND-040,RQ-029,
TC-008,チケット詳細画面,ステータス管理,認可：未割当状態の操作制限,担当者が未割当チケットのステータス変更ができない,担当者でログイン済み; 未割当チケットが存在する / 担当者:agent1; チケット:Ticket #1(未割当),開発者ツール等で未割当チケットでステータス変更を試行,403等で拒否され、状態は変わらず履歴も追加されない,P1,TCND-041,RQ-034,
TC-009,チケット詳細画面,担当者割当機能,認可：管理者権限 (RBAC),管理者が担当割当を実行できる,管理者でログイン済み; 未割当チケットが存在する / 管理者:admin1; チケット:Ticket #1(未割当),チケット詳細でagent2に割り当てる,担当者が割り当てられ一覧や詳細に反映される,P1,TCND-005,RQ-007;RQ-033,
TC-010,チケット詳細画面,担当者割当機能,認可：実行権限制限,管理者以外は担当割当を実行できない,担当者でログイン済み; 担当割当UIまたは操作がある / 担当者:agent1; チケット:Ticket #1,担当割当を試行する,担当割当ができない 表示されない または権限エラーとなる,P1,TCND-005,RQ-030,
TC-011,チケット一覧画面,チケット一覧表示,認可：参照スコープ (担当者),担当者が担当しているすべてのチケットを参照できる,担当者でログイン済み; 複数ユーザのチケットが存在する / 担当者:agent1,一覧で他人のチケットを開く,詳細画面が表示され参照できる,P1,TCND-004,RQ-016,
TC-012,チケット一覧画面,チケット一覧表示,認可：参照スコープ (依頼者),依頼者の一覧には自分のチケットのみ表示される,依頼者でログイン済み; 自分と他人のチケットが存在する / 依頼者:requester1,一覧を表示する,自分のチケットのみ表示され他人のチケットは表示されない,P2,TCND-020,RQ-015,
TC-013,チケット一覧画面,チケット一覧表示,認可：参照スコープ (管理者),管理者は全チケットを閲覧できる,管理者でログイン済み; ,一覧で他人のチケットを開く,詳細画面が表示され参照できる,P1,TCND-035,RQ-017,
TC-014,チケット詳細画面,コメント投稿,ビジネスルール：API直接操作制限,依頼者は他人チケットに直接操作でもコメント追加できない,依頼者でログイン済み; 他人チケットが存在する / 依頼者:requester1; 他人チケット:Ticket #2(所有者=requester2),他人チケットへ開発者ツール等でコメント追加を試行,403等で拒否されコメントが追加されない,P1,TCND-037,RQ-022,
TC-015,チケット詳細画面,コメント閲覧,表示更新：データ反映,コメントを追加すると詳細画面に表示される,依頼者または担当者または管理者でログイン済み; 対象チケットが存在する; チケット:Ticket #1,詳細でコメントを入力して送信,コメントが表示され履歴に反映される,P2,TCND-024,RQ-021;RQ-023,
TC-016,チケット一覧画面,チケット作成,認可：ロール別実行制限,担当者はチケットを作成できない,担当者でログイン済み / 担当者:agent1,一覧を表示する,作成UIが表示されない、または作成が拒否される,P1,TCND-033,RQ-013,
TC-017,チケット一覧画面,チケット作成,ビジネスルール：API直接操作制限,担当者は直接操作でもチケットを作成できない,担当者でログイン済み / 担当者:agent1,開発者ツール等でチケットをを作成しようとする,403等で拒否されチケットが作成されない,P1,TCND-033,RQ-013,
TC-018,チケット詳細画面,監査ログ,表示整合性：操作証跡,監査ログが表示され、操作種別が識別できる,依頼者でログイン済み/ 依頼者:requester1,(1) requester1でチケット作成 (2) admin1でagent1へ担当割当 (3) agent1でステータス変更 (4) agent1でコメント追加 (5) 詳細の履歴一覧を確認,履歴一覧が表示され、CREATED/ASSIGNED/STATUS_CHANGED/COMMENT_ADDED 等の操作種別とactorが追跡できる,P2,TCND-030;TCND-043,RQ-002;RQ-025;RQ-042,
TC-019,チケット詳細画面,ステータス遷移,ワークフロー：遷移禁止ルール,OpenからResolvedへの禁止遷移は拒否される,管理者でログイン済み; Openのチケットが存在する / 管理者:admin1; チケット:Ticket #1(Open),ステータスをResolvedに変更しようとする,禁止遷移として拒否され状態は変わらない（Openのまま） UIで選べない、またはエラーが表示される,P1,TCND-010,RQ-035,
TC-020,チケット詳細画面,ステータス遷移,ワークフロー：遷移禁止ルール,OpenからClosedへの禁止遷移は拒否される,管理者でログイン済み; Openのチケットが存在する / 管理者:admin1; チケット:Ticket #1(Open),ステータスをClosedに変更しようとする,禁止遷移として拒否され状態は変わらない（Openのまま） UIで選べない、またはエラーが表示される,P1,TCND-010,RQ-035;RQ-040,
TC-021,チケット詳細画面,ステータス遷移,ワークフロー：遷移許可ルール,OpenからIn Progressへ変更できる,管理者でログイン済み; ステータスがOpenのチケットが存在する / 管理者:admin1; チケット:Ticket #1(Open),チケットのステータスをIn Progressに変更する,ステータスがIn Progressに更新される,P1,TCND-006,RQ-035;RQ-036,
TC-022,チケット詳細画面,ステータス遷移,ワークフロー：遷移許可ルール,In ProgressからPendingへ変更できる,管理者でログイン済み; ステータスがIn Progressのチケットが存在する / 管理者:admin1; チケット:Ticket #1(In Progress),ステータスをPendingに変更する,ステータスがPendingに更新される,P1,TCND-007,RQ-035;RQ-037,
TC-023,チケット詳細画面,ステータス遷移,ワークフロー：遷移許可ルール,PendingからIn Progressへ戻せる,管理者でログイン済み; ステータスがPendingのチケットが存在する / 管理者:admin1; チケット:Ticket #1(Pending),ステータスをIn Progressに変更する,ステータスがIn Progressに更新される,P1,TCND-008,RQ-035;RQ-038,
TC-024,チケット詳細画面,ステータス遷移,ワークフロー：遷移禁止ルール,In ProgressからOpenへの禁止遷移は拒否される,管理者でログイン済み; In Progressのチケットが存在する / 管理者:admin1; チケット:Ticket #1(In Progress),ステータスをOpenに変更しようとする,禁止遷移として拒否され状態は変わらない（In Progressのまま） UIで選べない、またはエラーが表示される,P1,TCND-010,RQ-035,
TC-025,チケット詳細画面,ステータス遷移,ワークフロー：遷移許可ルール,In ProgressからResolvedへ変更できる,管理者でログイン済み; ステータスがIn Progressのチケットが存在する / 管理者:admin1; チケット:Ticket #1(In Progress),ステータスをResolvedに変更する,ステータスがResolvedに更新される,P1,TCND-007,RQ-035;RQ-037,
TC-026,チケット詳細画面,ステータス遷移,ワークフロー：遷移禁止ルール,ResolvedからIn Progressへの禁止遷移は拒否される,管理者でログイン済み; Resolvedのチケットが存在する / 管理者:admin1; チケット:Ticket #1(Resolved),ステータスをIn Progressに変更しようとする,禁止遷移として拒否され状態は変わらない（Resolvedのまま） UIで選べない、またはエラーが表示される,P1,TCND-010,RQ-035,
TC-027,チケット詳細画面,ステータス遷移,ワークフロー：遷移許可ルール,ResolvedからClosedへ変更できる,管理者でログイン済み; ステータスがResolvedのチケットが存在する / 管理者:admin1; チケット:Ticket #1(Resolved),ステータスをClosedに変更する,ステータスがClosedに更新される,P1,TCND-009,RQ-035;RQ-039,
TC-028,チケット詳細画面,ステータス遷移,ワークフロー：遷移禁止ルール,Closedから別状態への禁止遷移は拒否される,管理者でログイン済み; Closedのチケットが存在する / 管理者:admin1; チケット:Ticket #1(Closed),Closedのチケットで別ステータスを選ぶ,変更できない UIで選べない または拒否される,P1,TCND-010,RQ-035;RQ-041,
TC-029,チケット詳細画面,ステータス遷移,ビジネスルール：API直接操作制限,禁止遷移は直接操作でも拒否される（例：Open→Resolved）,管理者でログイン済み; Openのチケットが存在する / 管理者:admin1; チケット:Ticket #2(Open),開発者ツール等でステータス更新リクエストを改変し、status=Resolvedで送信する,403等で拒否され更新されない（Openのまま）,P1,TCND-010,RQ-035,
TC-030,チケット詳細画面,ステータス遷移,ワークフロー：遷移許可ルール,OpenからPendingへ変更できる,管理者でログイン済み; ステータスがOpenのチケットが存在する / 管理者:admin1; チケット:Ticket #2(Open),チケットのステータスをPendingに変更する,ステータスがPendingに更新される,P1,TCND-006,RQ-035;RQ-036,
TC-031,チケット詳細画面,ステータス遷移,ワークフロー：遷移禁止ルール,PendingからResolvedへの禁止遷移は拒否される,管理者でログイン済み; Pendingのチケットが存在する / 管理者:admin1; チケット:Ticket #2(Pending),ステータスをResolvedに変更しようとする,禁止遷移として拒否され状態は変わらない（Pendingのまま） UIで選べない、またはエラーが表示される,P1,TCND-010,RQ-035,
TC-032,チケット作成画面,チケット作成入力,入力バリデーション：正常系(必須),必須項目を満たしてチケットを作成できる,依頼者でログイン済み / 依頼者:requester1; タイトル:有効; 本文:有効,新規作成から必須項目を入力して作成,作成に成功し一覧に表示される,P2,TCND-013,RQ-003;RQ-004;RQ-005;RQ-012,
TC-033,チケット作成画面,チケット作成入力,入力バリデーション：異常系(必須),必須不足の場合は作成できずエラーが表示される,依頼者でログイン済み / 依頼者:requester1; タイトル:空; 本文:有効,タイトルを未入力で作成を実行,作成されず必須エラーが表示される,P2,TCND-014,RQ-003,
TC-034,チケット作成画面,チケット作成入力,バリデーション：境界値(最大),タイトル最大長ちょうどは受理される,依頼者でログイン済み / 依頼者:requester1; タイトル:最大長; 本文:有効,最大長ちょうどのタイトルで作成を実行,作成に成功する エラーにならない,P2,TCND-015,RQ-003,
TC-035,チケット作成画面,チケット作成入力,バリデーション：境界値超過,タイトル最大長+1は拒否される,依頼者でログイン済み / 依頼者:requester1; タイトル:最大長+1; 本文:有効,最大長+1のタイトルで作成を実行,作成されず文字数エラーが表示される または80文字以上入力できない,P2,TCND-015,RQ-003,
TC-036,チケット作成画面,期限管理,ビジネスルール：日付妥当性,期限を過去日に設定できない,管理者でログイン済み / 依頼者:admin1,期限に過去日を入力して保存を実行,期限エラーが表示される,P2,TCND-017,RQ-006,
TC-037,チケット詳細画面,添付ファイル管理,ビジネスルール：不変性制約,添付は作成後に削除/差し替えできない,依頼者でログイン済み; 添付付きチケットが存在する,添付付きチケット詳細を開き、削除/差し替えUIの有無を確認する,削除/差し替えUIが存在しない,P2,TCND-032,RQ-011,
TC-038,チケット作成画面,添付ファイルアップロード,バリデーション：サイズ上限,添付ファイルのサイズ上限超過は拒否される,依頼者でログイン済み / 依頼者:requester1; 添付:上限超過ファイル,上限超過の添付を付けて作成を実行,作成されずまたは添付が拒否されエラーが表示される,P2,TCND-018,RQ-008;RQ-010,
TC-039,チケット作成画面,添付ファイルアップロード,バリデーション：許可拡張子,許可形式以外の添付は拒否される,依頼者でログイン済み / 依頼者:requester1; 添付:不許可形式,不許可形式の添付を付けて作成を実行,添付が拒否される または安全に無効化される,P2,TCND-019,RQ-009,
TC-040,チケット一覧画面,チケット検索,検索精度：キーワードマッチ,キーワード検索が期待どおりに絞り込める,担当者でログイン済み; 検索対象チケットが存在する / 担当者:agent1; キーワード:invoice,キーワードで検索する,該当チケットのみが表示される,P2,TCND-021,RQ-018,
TC-041,チケット一覧画面,チケット検索,検索精度：フィルタ条件,状態フィルタが期待どおりに絞り込める,担当者でログイン済み; 複数状態のチケットが存在する / 担当者:agent1,状態フィルタをPendingに設定,Pendingのチケットのみ表示される,P2,TCND-022,RQ-019,
